,Country,Year,Month,Sales
655,Ukraine,2021,April,92
656,Ukraine,2022,April,263
657,UnitedArabEmirates,2015,April,28
658,UnitedArabEmirates,2016,April,16
659,UnitedArabEmirates,2017,April,36
660,UnitedStates,2018,April,22
661,UnitedStates,2019,April,57
662,UnitedStates,2020,April,11
663,UnitedStates,2021,April,125
664,UnitedStates,2022,April,109
665,Yemen,2017,April,32
666,Yemen,2018,April,39
667,Yemen,2019,April,148
668,Yemen,2020,April,30
669,Yemen,2021,April,134
670,Yemen,2022,April,164
671,Yemen,2015,April,24
672,Afghanistan,2015,May,37
673,Afghanistan,2016,May,125
674,Afghanistan,2017,May,70
675,Afghanistan,2018,May,131
676,Afghanistan,2019,May,183
677,Afghanistan,2020,May,48
678,Afghanistan,2021,May,98
679,Afghanistan,2022,May,210
680,Azerbaijan,2015,May,50
681,Azerbaijan,2016,May,58
682,Azerbaijan,2017,May,63
683,Azerbaijan,2018,May,75
684,Azerbaijan,2019,May,90
685,Azerbaijan,2020,May,42
686,Azerbaijan,2021,May,47
687,Azerbaijan,2022,May,118
688,Belgium,2016,May,7
689,Belgium,2017,May,15
690,Canada,2022,May,81
691,China,2015,May,19
692,China,2016,May,36
693,China,2020,May,46
694,China,2021,May,20
695,China,2022,May,186
696,Egypt,2015,May,21
697,Egypt,2016,May,19
698,Egypt,2017,May,52
699,Egypt,2018,May,38
700,Egypt,2019,May,99
701,Egypt,2020,May,23
702,Egypt,2021,May,37
703,Egypt,2022,May,94
704,England,2015,May,103
705,England,2016,May,85
706,England,2017,May,65
707,England,2018,May,112
708,England,2019,May,149
709,England,2020,May,16
710,England,2021,May,36
711,England,2022,May,91
712,Germany,2015,May,73
713,Germany,2016,May,67
714,Germany,2017,May,54
715,Germany,2018,May,123
716,Germany,2019,May,155
717,Germany,2020,May,15
718,Germany,2021,May,87
719,Germany,2022,May,247
720,Iran,2015,May,52
721,Iran,2016,May,53
722,Iran,2017,May,68
723,Iran,2018,May,217
724,Iran,2019,May,509
725,Iran,2020,May,209
726,Iran,2021,May,231
727,Iran,2022,May,736
728,Iraq,2015,May,276
729,Iraq,2016,May,193
730,Iraq,2017,May,277
731,Iraq,2018,May,407
732,Iraq,2019,May,594
733,Iraq,2020,May,143
734,Iraq,2021,May,239
735,Iraq,2022,May,617
736,Jordan,2015,May,21
737,Jordan,2016,May,26
738,Jordan,2017,May,32
739,Jordan,2018,May,65
740,Jordan,2019,May,144
741,Jordan,2020,May,25
742,Jordan,2021,May,36
743,Jordan,2022,May,95
744,Kazakhstan,2020,May,15
745,Kazakhstan,2021,May,80
746,Kazakhstan,2015,May,46
747,Kazakhstan,2016,May,25
748,Kazakhstan,2017,May,17
749,Kazakhstan,2018,May,28
750,Kazakhstan,2019,May,71
751,Kazakhstan,2022,May,218
752,Kuwait,2015,May,216
753,Kuwait,2016,May,182
754,Kuwait,2017,May,125
755,Kuwait,2018,May,114
756,Kuwait,2019,May,152
757,Kuwait,2020,May,7
758,Kuwait,2021,May,43
759,Kuwait,2022,May,130
760,Lebanese,2019,May,57
761,Lebanese,2020,May,9
762,Lebanon,2018,May,25
763,Lebanon,2021,May,44
764,Lebanon,2022,May,87
765,Libya,2019,May,83
766,Libya,2020,May,12
767,Libya,2015,May,42
768,Netherlands,2016,May,17
769,Netherlands,2018,May,41
770,Norway,2015,May,29
771,Norway,2016,May,31
772,Norway,2017,May,25
773,Othercountries,2015,May,313
774,Othercountries,2016,May,297
775,Othercountries,2017,May,299
776,Othercountries,2018,May,410
777,Othercountries,2019,May,713
778,Othercountries,2020,May,135
779,Othercountries,2021,May,393
780,Othercountries,2022,May,1061
781,Pakistani,2021,May,42
782,Pakistani,2022,May,96
783,Palestine,2017,May,20
784,Palestine,2018,May,44
785,Palestine,2019,May,104
786,Palestine,2020,May,18
787,Palestine,2021,May,37
788,Palestine,2022,May,155
789,Qatar,2015,May,32
790,Qatar,2016,May,36
791,Qatar,2017,May,21
792,Qatar,2018,May,50
793,Qatar,2019,May,64
794,RussianFederation,2015,May,222
795,RussianFederation,2016,May,121
796,RussianFederation,2017,May,134
797,RussianFederation,2018,May,165
798,RussianFederation,2019,May,285
799,RussianFederation,2020,May,40
800,RussianFederation,2021,May,119
801,RussianFederation,2022,May,1275
802,SaudiArabia,2015,May,276
803,SaudiArabia,2016,May,160
804,SaudiArabia,2017,May,285
805,SaudiArabia,2018,May,206
806,SaudiArabia,2019,May,157
807,SaudiArabia,2020,May,11
808,SaudiArabia,2022,May,36
809,Sudan,2021,May,20
810,Sweden,2015,May,42
811,Sweden,2016,May,39
812,Sweden,2017,May,48
813,Sweden,2018,May,48
814,Sweden,2019,May,55
815,Sweden,2020,May,3
816,Sweden,2021,May,26
817,Ukraine,2015,May,79
818,Ukraine,2016,May,57
819,Ukraine,2017,May,48
820,Ukraine,2018,May,56
821,Ukraine,2019,May,80
822,Ukraine,2020,May,25
823,Ukraine,2021,May,44
824,Ukraine,2022,May,241
825,UnitedArabEmirates,2015,May,20
826,UnitedArabEmirates,2016,May,11
827,UnitedArabEmirates,2017,May,37
828,UnitedStates,2018,May,26
829,UnitedStates,2019,May,68
830,UnitedStates,2020,May,7
831,UnitedStates,2021,May,54
832,UnitedStates,2022,May,119
833,Yemen,2017,May,40
834,Yemen,2018,May,52
835,Yemen,2019,May,155
836,Yemen,2020,May,21
837,Yemen,2021,May,63
838,Yemen,2022,May,140
839,Yemen,2015,May,28
840,Afghanistan,2015,June,36
841,Afghanistan,2016,June,107
842,Afghanistan,2017,June,73
843,Afghanistan,2018,June,139
844,Afghanistan,2019,June,108
845,Afghanistan,2020,June,60
846,Afghanistan,2021,June,250
847,Afghanistan,2022,June,258
848,Azerbaijan,2015,June,72
849,Azerbaijan,2016,June,63
850,Azerbaijan,2017,June,46
851,Azerbaijan,2018,June,82
852,Azerbaijan,2019,June,67
853,Azerbaijan,2020,June,70
854,Azerbaijan,2021,June,164
855,Azerbaijan,2022,June,131
856,Belgium,2016,June,17
857,Belgium,2017,June,23
858,Canada,2022,June,105
859,China,2015,June,17
860,China,2016,June,23
861,China,2020,June,78
862,China,2021,June,81
863,China,2022,June,377
864,Egypt,2015,June,29
865,Egypt,2016,June,28
866,Egypt,2017,June,31
867,Egypt,2018,June,38
868,Egypt,2019,June,34
869,Egypt,2020,June,40
870,Egypt,2021,June,95
871,Egypt,2022,June,188
872,England,2015,June,104
873,England,2016,June,102
874,England,2017,June,87
875,England,2018,June,88
876,England,2019,June,113
877,England,2020,June,37
878,England,2021,June,63
879,England,2022,June,144
880,Germany,2015,June,68
881,Germany,2016,June,96
882,Germany,2017,June,64
883,Germany,2018,June,102
884,Germany,2019,June,126
885,Germany,2020,June,53
886,Germany,2021,June,192
887,Germany,2022,June,329
888,Iran,2015,June,85
889,Iran,2016,June,55
890,Iran,2017,June,62
891,Iran,2018,June,228
892,Iran,2019,June,415
893,Iran,2020,June,398
894,Iran,2021,June,683
895,Iran,2022,June,987
896,Iraq,2015,June,315
897,Iraq,2016,June,214
898,Iraq,2017,June,239
899,Iraq,2018,June,315
900,Iraq,2019,June,429
901,Iraq,2020,June,257
902,Iraq,2021,June,773
903,Iraq,2022,June,807
904,Jordan,2015,June,12
905,Jordan,2016,June,21
906,Jordan,2017,June,17
907,Jordan,2018,June,64
908,Jordan,2019,June,98
909,Jordan,2020,June,46
910,Jordan,2021,June,83
911,Jordan,2022,June,133
912,Kazakhstan,2020,June,34
913,Kazakhstan,2021,June,165
914,Kazakhstan,2015,June,38
915,Kazakhstan,2016,June,36
916,Kazakhstan,2017,June,35
917,Kazakhstan,2018,June,35
918,Kazakhstan,2019,June,60
919,Kazakhstan,2022,June,318
920,Kuwait,2015,June,214
921,Kuwait,2016,June,110
922,Kuwait,2017,June,136
923,Kuwait,2018,June,90
924,Kuwait,2019,June,113
925,Kuwait,2020,June,19
926,Kuwait,2021,June,151
927,Kuwait,2022,June,190
928,Lebanese,2019,June,43
929,Lebanese,2020,June,27
930,Lebanon,2018,June,22
931,Lebanon,2021,June,107
932,Lebanon,2022,June,98
933,Libya,2019,June,60
934,Libya,2020,June,27
935,Libya,2015,June,40
936,Netherlands,2016,June,13
937,Netherlands,2018,June,28
938,Norway,2015,June,75
939,Norway,2016,June,26
940,Norway,2017,June,24
941,Othercountries,2015,June,420
942,Othercountries,2016,June,287
943,Othercountries,2017,June,234
944,Othercountries,2018,June,352
945,Othercountries,2019,June,485
946,Othercountries,2020,June,323
947,Othercountries,2021,June,966
948,Othercountries,2022,June,1611
949,Pakistani,2021,June,103
950,Pakistani,2022,June,162
951,Palestine,2017,June,17
952,Palestine,2018,June,29
953,Palestine,2019,June,46
954,Palestine,2020,June,30
955,Palestine,2021,June,124
956,Palestine,2022,June,205
